"filename", "language", "Vue", "JavaScript", "Less", "comment", "blank", "total"
"d:\BaiduNetdiskDownload\桌面\临时文件\vue\vueday4\my-vue-app\20\hm-shopping\src\App.vue", "Vue", 6, 0, 0, 0, 3, 9
"d:\BaiduNetdiskDownload\桌面\临时文件\vue\vueday4\my-vue-app\20\hm-shopping\src\api\login.js", "JavaScript", 0, 23, 0, 2, 1, 26
"d:\BaiduNetdiskDownload\桌面\临时文件\vue\vueday4\my-vue-app\20\hm-shopping\src\main.js", "JavaScript", 0, 11, 0, 0, 4, 15
"d:\BaiduNetdiskDownload\桌面\临时文件\vue\vueday4\my-vue-app\20\hm-shopping\src\router\index.js", "JavaScript", 0, 42, 0, 0, 3, 45
"d:\BaiduNetdiskDownload\桌面\临时文件\vue\vueday4\my-vue-app\20\hm-shopping\src\store\index.js", "JavaScript", 0, 17, 0, 0, 2, 19
"d:\BaiduNetdiskDownload\桌面\临时文件\vue\vueday4\my-vue-app\20\hm-shopping\src\store\modules\user.js", "JavaScript", 0, 16, 0, 0, 2, 18
"d:\BaiduNetdiskDownload\桌面\临时文件\vue\vueday4\my-vue-app\20\hm-shopping\src\styles\common.less", "Less", 0, 0, 17, 3, 2, 22
"d:\BaiduNetdiskDownload\桌面\临时文件\vue\vueday4\my-vue-app\20\hm-shopping\src\utils\request.js", "JavaScript", 0, 22, 0, 8, 4, 34
"d:\BaiduNetdiskDownload\桌面\临时文件\vue\vueday4\my-vue-app\20\hm-shopping\src\utils\vant-ui.js", "JavaScript", 0, 3, 0, 0, 1, 4
"d:\BaiduNetdiskDownload\桌面\临时文件\vue\vueday4\my-vue-app\20\hm-shopping\src\views\layout\cart.vue", "Vue", 10, 0, 0, 0, 4, 14
"d:\BaiduNetdiskDownload\桌面\临时文件\vue\vueday4\my-vue-app\20\hm-shopping\src\views\layout\category.vue", "Vue", 9, 0, 0, 0, 3, 12
"d:\BaiduNetdiskDownload\桌面\临时文件\vue\vueday4\my-vue-app\20\hm-shopping\src\views\layout\home.vue", "Vue", 10, 0, 0, 0, 4, 14
"d:\BaiduNetdiskDownload\桌面\临时文件\vue\vueday4\my-vue-app\20\hm-shopping\src\views\layout\index.vue", "Vue", 22, 0, 0, 0, 5, 27
"d:\BaiduNetdiskDownload\桌面\临时文件\vue\vueday4\my-vue-app\20\hm-shopping\src\views\layout\user.vue", "Vue", 10, 0, 0, 0, 4, 14
"d:\BaiduNetdiskDownload\桌面\临时文件\vue\vueday4\my-vue-app\20\hm-shopping\src\views\login\index.vue", "Vue", 159, 0, 0, 2, 20, 181
"d:\BaiduNetdiskDownload\桌面\临时文件\vue\vueday4\my-vue-app\20\hm-shopping\src\views\myorder\index.vue", "Vue", 9, 0, 0, 0, 3, 12
"d:\BaiduNetdiskDownload\桌面\临时文件\vue\vueday4\my-vue-app\20\hm-shopping\src\views\pay\index.vue", "Vue", 9, 0, 0, 0, 3, 12
"d:\BaiduNetdiskDownload\桌面\临时文件\vue\vueday4\my-vue-app\20\hm-shopping\src\views\prodetail\index.vue", "Vue", 9, 0, 0, 0, 3, 12
"d:\BaiduNetdiskDownload\桌面\临时文件\vue\vueday4\my-vue-app\20\hm-shopping\src\views\search\index.vue", "Vue", 9, 0, 0, 0, 3, 12
"Total", "-", 262, 134, 17, 15, 74, 502